document_id,user_id,document_type,submission_date,verification_status,ai_confidence_score,fraud_detection_flag,processing_time_sec,comments
DOC00001,USER1706,Passport,2025-01-06,Verified,92.91,False,4.42,Valid document
DOC00002,USER4585,ID Card,2025-01-06,Rejected,24.58,False,0.88,Issues detected
DOC00003,USER7371,Bank Statement,2024-09-14,Manual Review,60.69,False,4.69,Issues detected
DOC00004,USER2768,Passport,2025-04-01,Rejected,32.66,True,3.35,Issues detected
DOC00005,USER8394,ID Card,2025-02-06,Verified,96.78,False,3.31,Valid document
DOC00006,USER9441,Passport,2024-07-28,Verified,96.4,False,4.26,Valid document
DOC00007,USER2306,Utility Bill,2024-08-04,Rejected,15.26,False,2.37,Issues detected
DOC00008,USER4312,Utility Bill,2024-09-25,Verified,84.88,False,4.59,Valid document
DOC00009,USER5771,ID Card,2024-04-30,Verified,92.27,False,1.03,Valid document
DOC00010,USER6891,Utility Bill,2024-11-03,Rejected,6.29,True,3.57,Issues detected
DOC00011,USER4843,ID Card,2024-04-22,Verified,89.28,False,3.67,Valid document
DOC00012,USER3360,Bank Statement,2024-10-14,Verified,96.55,False,2.03,Valid document
DOC00013,USER7125,ID Card,2025-01-25,Manual Review,78.16,False,3.72,Issues detected
DOC00014,USER3797,ID Card,2024-04-04,Verified,91.08,False,1.68,Valid document
DOC00015,USER2478,Driver's License,2024-05-24,Verified,86.4,False,0.64,Valid document
DOC00016,USER2133,Bank Statement,2024-11-11,Manual Review,59.78,True,1.97,Issues detected
DOC00017,USER5124,ID Card,2024-04-27,Verified,90.08,False,1.91,Valid document
DOC00018,USER4512,Utility Bill,2024-09-09,Rejected,49.1,True,4.79,Issues detected
DOC00019,USER1541,Driver's License,2025-03-17,Rejected,36.84,False,1.23,Issues detected
DOC00020,USER1368,Passport,2024-10-22,Rejected,10.85,True,3.78,Issues detected
DOC00021,USER8973,Driver's License,2024-10-20,Manual Review,56.37,False,2.48,Issues detected
DOC00022,USER3304,Utility Bill,2025-03-02,Verified,88.49,False,3.44,Valid document
DOC00023,USER8887,Driver's License,2025-02-16,Verified,80.56,False,1.69,Valid document
DOC00024,USER5803,ID Card,2025-02-11,Manual Review,73.88,True,1.33,Issues detected
